version,suite,task_id,cache_phase,success,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,first_event_ms,first_reasoning_ms,first_visible_ms,successful_attempt_ms,end_to_end_ms,retry_count,truncated,error_429,error_5xx,error_timeout,catalog_generation,catalog_digest,stable_prefix_digest,dynamic_suffix_digest,theoretical_reusable_tokens,tool_call_count,task_success,route_ok,false_no_skill_claim,explicit_skill_missed,visible_chars,visible_words,lines,paragraphs,list_items,markdown_headings,bold_spans
candidate,continuity,session_1_turn_1,cold,True,12657,1152,0,86,34,3635.356,3635.356,3689.042,4233.215,4233.238,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,f177cb759c81ff6320d713bd2c69e619a327b9c5f24b97c2df4191e30ce0f4a6,12536,0,,,,,249,36,1,1,0,0,1
candidate,continuity,session_1_turn_2,warm,True,12690,1152,0,100,67,3434.197,3434.197,4610.358,5138.51,5138.539,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,7e16bdcc9a4003eeebde04b4ecfcf77c512410c90bf8bc2ff98be66af1ec038a,12657,0,,,,,191,24,1,1,0,0,0
baseline,continuity,session_1_turn_2,warm,True,13340,13312,0,97,56,1881.593,1881.593,2856.376,4139.296,124484.695,1,False,0,0,1,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,7e16bdcc9a4003eeebde04b4ecfcf77c512410c90bf8bc2ff98be66af1ec038a,13307,0,,,,,241,33,1,1,0,0,0
baseline,continuity,session_1_turn_3,warm,True,13373,128,0,103,70,2087.177,2087.177,4173.942,5401.171,5401.206,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,245663e7ba27e8b44535ca0c93ff8d7abc9a59428cf15968bbff644b5f473618,13340,0,,,,,192,24,1,1,0,0,0
candidate,continuity,session_1_turn_3,warm,True,12723,1280,0,69,33,2286.443,2286.443,2857.14,3675.973,3675.999,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,245663e7ba27e8b44535ca0c93ff8d7abc9a59428cf15968bbff644b5f473618,12690,0,,,,,216,29,1,1,0,0,0
candidate,continuity,session_1_turn_4,warm,True,12756,1280,0,14,0,2479.16,,2479.16,2651.271,2651.291,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,8bc4b7844fa1a17dedc06fc3df45d6ec75e52ae210bd71a9572eb28b82f9ae56,12723,0,,,,,85,9,1,1,0,0,0
baseline,continuity,session_1_turn_4,warm,True,13406,128,0,79,57,1627.818,1627.818,3457.467,4117.316,4117.339,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,8bc4b7844fa1a17dedc06fc3df45d6ec75e52ae210bd71a9572eb28b82f9ae56,13373,0,,,,,145,19,1,1,0,0,0
baseline,continuity,session_1_turn_5,warm,True,13439,128,0,14,0,996.182,,996.182,1189.333,1189.358,0,False,0,0,0,0,71665c7e8d8deffbf20db8726ff640dc715c64ad58a9f5f6b05ac5df885abb16,e97cfbc8a1d05fa34d6c332b99460aa2b554c4c6d83fceeda44e5a6739badf0f,4c7f7bba6a12992a1da50d4c0e1bb19fb8e827632ed90deb83e995c511b66417,13406,0,,,,,85,9,1,1,0,0,0
candidate,continuity,session_1_turn_5,warm,True,12789,1280,0,14,0,2130.79,,2130.79,2429.355,2429.377,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,4c7f7bba6a12992a1da50d4c0e1bb19fb8e827632ed90deb83e995c511b66417,12756,0,,,,,85,9,1,1,0,0,0
candidate,continuity,session_1_turn_6,warm,True,12822,1280,0,14,0,1391.341,,1391.341,1606.599,1606.621,0,False,0,0,0,1,5f91d728b017a0609abd77c37df38fbac683680a56e234b719478d93eb00de49,bdf68b7a6c4040663252f1cd1bbc32c637f2517f3b2db45b1ddb8b1368bac28b,cf1661f6e41c77d596bbbbe2eb8d159fe6664b86647f2eaf63da4064c43c4d19,12789,0,,,,,85,9,1,1,0,0,0
